   Line    |    Original     |       New       |   Improvement   |   Multiplier   
   557     |        1        |        1        | 0.00% |      1.00x     
   558     |       485       |       64        | 86.80% |      7.58x     
   559     |       328       |       63        | 80.79% |      5.21x     
   560     |       454       |       83        | 81.72% |      5.47x     
   561     |        1        |        1        | 0.00% |      1.00x     
   562     |       492       |       71        | 85.57% |      6.93x     
   563     |       499       |       95        | 80.96% |      5.25x     
   564     |       338       |       28        | 91.72% |     12.07x     
   565     |       269       |       194       | 27.88% |      1.39x     
   566     |       306       |       21        | 93.14% |     14.57x     
   567     |        1        |        1        | 0.00% |      1.00x     
   568     |        1        |        1        | 0.00% |      1.00x     
   569     |       559       |       83        | 85.15% |      6.73x     
   570     |       256       |        1        | 99.61% |     256.00x    
   571     |        1        |        1        | 0.00% |      1.00x     
   572     |        1        |        1        | 0.00% |      1.00x     
   573     |       471       |       52        | 88.96% |      9.06x     
   574     |       253       |       176       | 30.43% |      1.44x     
   575     |        1        |        1        | 0.00% |      1.00x     
   576     |        1        |        1        | 0.00% |      1.00x     
   577     |        1        |        1        | 0.00% |      1.00x     
   578     |       484       |       63        | 86.98% |      7.68x     
   579     |       410       |       45        | 89.02% |      9.11x     
   580     |       284       |       15        | 94.72% |     18.93x     
   581     |       409       |       42        | 89.73% |      9.74x     
   582     |       256       |        1        | 99.61% |     256.00x    
   583     |        1        |        1        | 0.00% |      1.00x     
   584     |       483       |       58        | 87.99% |      8.33x     
   585     |       330       |       20        | 93.94% |     16.50x     
   586     |       331       |       21        | 93.66% |     15.76x     
   587     |        1        |        1        | 0.00% |      1.00x     
   588     |       20        |       20        | 0.00% |      1.00x     
   589     |       22        |       22        | 0.00% |      1.00x     
   590     |       14        |       14        | 0.00% |      1.00x     
   591     |       256       |        4        | 98.44% |     64.00x     
   592     |        1        |        1        | 0.00% |      1.00x     
   593     |       256       |        1        | 99.61% |     256.00x    
   594     |        1        |        1        | 0.00% |      1.00x     
   595     |        1        |        1        | 0.00% |      1.00x     
   596     |        1        |        1        | 0.00% |      1.00x     
   597     |        4        |        4        | 0.00% |      1.00x     
   598     |       918       |       180       | 80.39% |      5.10x     
   599     |        1        |        1        | 0.00% |      1.00x     
   600     |       333       |       23        | 93.09% |     14.48x     
   601     |       287       |       17        | 94.08% |     16.88x     
   602     |       406       |       41        | 89.90% |      9.90x     
   603     |       335       |       24        | 92.84% |     13.96x     
   604     |        1        |        1        | 0.00% |      1.00x     
   605     |       334       |       24        | 92.81% |     13.92x     
   606     |       333       |       22        | 93.39% |     15.14x     
   607     |       211       |       202       | 4.27% |      1.04x     
   608     |       332       |       22        | 93.37% |     15.09x     
   609     |       331       |       21        | 93.66% |     15.76x     
   610     |       256       |       59        | 76.95% |      4.34x     
   611     |        1        |        1        | 0.00% |      1.00x     
   612     |       256       |        1        | 99.61% |     256.00x    
   613     |       88        |       88        | 0.00% |      1.00x     
   614     |       256       |       31        | 87.89% |      8.26x     
   615     |       256       |        1        | 99.61% |     256.00x    
   616     |        1        |        1        | 0.00% |      1.00x     
   617     |       256       |        1        | 99.61% |     256.00x    
   618     |       256       |        3        | 98.83% |     85.33x     
   619     |       256       |       12        | 95.31% |     21.33x     
   620     |        1        |        1        | 0.00% |      1.00x     
   621     |        1        |        1        | 0.00% |      1.00x     
   622     |        1        |        1        | 0.00% |      1.00x     
   623     |        1        |        1        | 0.00% |      1.00x     
   624     |        1        |        1        | 0.00% |      1.00x     
   625     |        1        |        1        | 0.00% |      1.00x     
   626     |       988       |       195       | 80.26% |      5.07x     
   627     |        1        |        1        | 0.00% |      1.00x     
   628     |       256       |        6        | 97.66% |     42.67x     
   629     |       241       |       198       | 17.84% |      1.22x     
   630     |        1        |        1        | 0.00% |      1.00x     
   631     |        1        |        1        | 0.00% |      1.00x     
   632     |        1        |        1        | 0.00% |      1.00x     
   633     |        1        |        1        | 0.00% |      1.00x     
   634     |       63        |       63        | 0.00% |      1.00x     
   635     |        1        |        1        | 0.00% |      1.00x     
   636     |        1        |        1        | 0.00% |      1.00x     
   637     |      1015       |       207       | 79.61% |      4.90x     
   638     |        1        |        1        | 0.00% |      1.00x     
   639     |       39        |       39        | 0.00% |      1.00x     
   640     |        1        |        1        | 0.00% |      1.00x     
   641     |       334       |       23        | 93.11% |     14.52x     
   642     |       146       |       146       | 0.00% |      1.00x     
   643     |       275       |       18        | 93.45% |     15.28x     
   644     |        1        |        1        | 0.00% |      1.00x     
   645     |        1        |        1        | 0.00% |      1.00x     
   646     |       15        |       15        | 0.00% |      1.00x     
   647     |       72        |       72        | 0.00% |      1.00x     
   648     |        1        |        1        | 0.00% |      1.00x     
   649     |       256       |       12        | 95.31% |     21.33x     
   650     |        1        |        1        | 0.00% |      1.00x     
   651     |        1        |        1        | 0.00% |      1.00x     
   652     |        3        |        3        | 0.00% |      1.00x     
   653     |       938       |       184       | 80.38% |      5.10x     
   654     |       111       |       111       | 0.00% |      1.00x     
   655     |       329       |       19        | 94.22% |     17.32x     
   656     |       304       |        9        | 97.04% |     33.78x     
   657     |        1        |        1        | 0.00% |      1.00x     
   658     |        5        |        5        | 0.00% |      1.00x     
   659     |       407       |       41        | 89.93% |      9.93x     
   660     |        1        |        1        | 0.00% |      1.00x     
   661     |       403       |       37        | 90.82% |     10.89x     
   662     |       313       |       19        | 93.93% |     16.47x     
   663     |        5        |        5        | 0.00% |      1.00x     
   664     |       411       |       44        | 89.29% |      9.34x     
   665     |       331       |       21        | 93.66% |     15.76x     
   666     |       331       |       21        | 93.66% |     15.76x     
   667     |        1        |        1        | 0.00% |      1.00x     
   668     |       256       |        2        | 99.22% |     128.00x    
   669     |        1        |        1        | 0.00% |      1.00x     
   670     |       476       |       55        | 88.45% |      8.65x     
   671     |       274       |       95        | 65.33% |      2.88x     
   672     |       333       |       26        | 92.19% |     12.81x     
   673     |       476       |       55        | 88.45% |      8.65x     
   674     |        1        |        1        | 0.00% |      1.00x     
   675     |       328       |       17        | 94.82% |     19.29x     
   676     |        1        |        1        | 0.00% |      1.00x     
   677     |       407       |       40        | 90.17% |     10.18x     
   678     |        1        |        1        | 0.00% |      1.00x     
   679     |       330       |       20        | 93.94% |     16.50x     
   680     |       57        |       57        | 0.00% |      1.00x     
   681     |       22        |       22        | 0.00% |      1.00x     
   682     |       320       |       63        | 80.31% |      5.08x     
   683     |        7        |        7        | 0.00% |      1.00x     
   684     |       20        |       20        | 0.00% |      1.00x     
   685     |       269       |       15        | 94.42% |     17.93x     
   686     |       255       |       123       | 51.76% |      2.07x     
   687     |        1        |        1        | 0.00% |      1.00x     
   688     |        3        |        3        | 0.00% |      1.00x     
   689     |        5        |        5        | 0.00% |      1.00x     
   690     |       762       |       132       | 82.68% |      5.77x     
   691     |       256       |        1        | 99.61% |     256.00x    
   692     |       256       |        1        | 99.61% |     256.00x    
   693     |       253       |       104       | 58.89% |      2.43x     
   694     |       256       |        5        | 98.05% |     51.20x     
   695     |       256       |        1        | 99.61% |     256.00x    
   696     |       126       |       126       | 0.00% |      1.00x     
   697     |       303       |       19        | 93.73% |     15.95x     
   698     |       256       |       38        | 85.16% |      6.74x     
   699     |       256       |       32        | 87.50% |      8.00x     
   700     |        1        |        1        | 0.00% |      1.00x     
   701     |        4        |        4        | 0.00% |      1.00x     
   702     |        1        |        1        | 0.00% |      1.00x     
   703     |        1        |        1        | 0.00% |      1.00x     
   704     |       256       |        1        | 99.61% |     256.00x    
   705     |      1016       |       209       | 79.43% |      4.86x     
   706     |       241       |       211       | 12.45% |      1.14x     
   707     |       256       |        1        | 99.61% |     256.00x    
   708     |       256       |        1        | 99.61% |     256.00x    
   709     |       256       |        1        | 99.61% |     256.00x    
   710     |       256       |        2        | 99.22% |     128.00x    
   711     |       256       |        1        | 99.61% |     256.00x    
   712     |       256       |        1        | 99.61% |     256.00x    
   713     |       256       |        1        | 99.61% |     256.00x    
   714     |       256       |        1        | 99.61% |     256.00x    
   715     |        1        |        1        | 0.00% |      1.00x     
   716     |        1        |        1        | 0.00% |      1.00x     
   717     |        1        |        1        | 0.00% |      1.00x     
   718     |        7        |        7        | 0.00% |      1.00x     
   719     |       86        |       86        | 0.00% |      1.00x     
   720     |       998       |       202       | 79.76% |      4.94x     
   721     |       294       |       16        | 94.56% |     18.38x     
   722     |       48        |       47        | 2.08% |      1.02x     
   723     |       181       |       180       | 0.55% |      1.01x     
   724     |       256       |        1        | 99.61% |     256.00x    
   725     |       256       |        1        | 99.61% |     256.00x    
   726     |       256       |        1        | 99.61% |     256.00x    
   727     |        1        |        1        | 0.00% |      1.00x     
   728     |       256       |       10        | 96.09% |     25.60x     
   729     |       229       |       215       | 6.11% |      1.07x     
   730     |       256       |        2        | 99.22% |     128.00x    
   731     |        1        |        1        | 0.00% |      1.00x     
   732     |        1        |        1        | 0.00% |      1.00x     
   733     |        1        |        1        | 0.00% |      1.00x     
   734     |       256       |        1        | 99.61% |     256.00x    
   735     |      1003       |       195       | 80.56% |      5.14x     
   736     |       256       |        1        | 99.61% |     256.00x    
   737     |       408       |       40        | 90.20% |     10.20x     
   738     |        1        |        1        | 0.00% |      1.00x     
   739     |       333       |       23        | 93.09% |     14.48x     
   740     |       331       |       21        | 93.66% |     15.76x     
   741     |       330       |       20        | 93.94% |     16.50x     
   742     |       331       |       18        | 94.56% |     18.39x     
   743     |        1        |        1        | 0.00% |      1.00x     
   744     |       330       |       19        | 94.24% |     17.37x     
   745     |       113       |       112       | 0.88% |      1.01x     
   746     |       122       |       121       | 0.82% |      1.01x     
   747     |       256       |        2        | 99.22% |     128.00x    
   748     |       185       |       181       | 2.16% |      1.02x     
   749     |       10        |       10        | 0.00% |      1.00x     
   750     |       75        |       75        | 0.00% |      1.00x     
   751     |       256       |        1        | 99.61% |     256.00x    
   752     |       256       |        1        | 99.61% |     256.00x    
   753     |       256       |        2        | 99.22% |     128.00x    
   754     |       256       |       14        | 94.53% |     18.29x     
   755     |        1        |        1        | 0.00% |      1.00x     
   756     |       10        |       10        | 0.00% |      1.00x     
   757     |        1        |        1        | 0.00% |      1.00x     
   758     |        1        |        1        | 0.00% |      1.00x     
   759     |      1014       |       208       | 79.49% |      4.88x     
   760     |       331       |       21        | 93.66% |     15.76x     
   761     |       269       |       13        | 95.17% |     20.69x     
   762     |       78        |       78        | 0.00% |      1.00x     
   763     |       481       |       61        | 87.32% |      7.89x     
   764     |       271       |       17        | 93.73% |     15.94x     
   765     |       141       |       138       | 2.13% |      1.02x     
   766     |        1        |        1        | 0.00% |      1.00x     
   767     |       409       |       43        | 89.49% |      9.51x     
   768     |        1        |        1        | 0.00% |      1.00x     
   769     |       129       |       129       | 0.00% |      1.00x     
   770     |       256       |        1        | 99.61% |     256.00x    
   771     |        1        |        1        | 0.00% |      1.00x     
   772     |        1        |        1        | 0.00% |      1.00x     
   773     |       563       |       88        | 84.37% |      6.40x     
   774     |       340       |       29        | 91.47% |     11.72x     
   775     |        1        |        1        | 0.00% |      1.00x     
   776     |       457       |       72        | 84.25% |      6.35x     
   777     |       272       |       10        | 96.32% |     27.20x     
   778     |        1        |        1        | 0.00% |      1.00x     
   779     |       553       |       76        | 86.26% |      7.28x     
   780     |       314       |       30        | 90.45% |     10.47x     
   781     |       310       |       29        | 90.65% |     10.69x     
   782     |       368       |       39        | 89.40% |      9.44x     
   783     |        1        |        1        | 0.00% |      1.00x     
   784     |       631       |       100       | 84.15% |      6.31x     
   785     |       256       |        1        | 99.61% |     256.00x    
   786     |       154       |       154       | 0.00% |      1.00x     
   787     |        1        |        1        | 0.00% |      1.00x     
   788     |       410       |       44        | 89.27% |      9.32x     
   789     |        1        |        1        | 0.00% |      1.00x     
   790     |       409       |       43        | 89.49% |      9.51x     
   791     |        1        |        1        | 0.00% |      1.00x     
   792     |       303       |       17        | 94.39% |     17.82x     
   793     |       39        |       39        | 0.00% |      1.00x     
   794     |       483       |       63        | 86.96% |      7.67x     
   795     |       332       |       22        | 93.37% |     15.09x     
   796     |       354       |       41        | 88.42% |      8.63x     
   797     |       71        |       71        | 0.00% |      1.00x     
   798     |       256       |        1        | 99.61% |     256.00x    
   799     |       96        |       96        | 0.00% |      1.00x     
   800     |        1        |        1        | 0.00% |      1.00x     
   801     |        1        |        1        | 0.00% |      1.00x     
   802     |       633       |       101       | 84.04% |      6.27x     
   803     |       96        |       96        | 0.00% |      1.00x     
   804     |       330       |       19        | 94.24% |     17.37x     
   805     |       346       |       35        | 89.88% |      9.89x     
   806     |       481       |       59        | 87.73% |      8.15x     
   807     |        1        |        1        | 0.00% |      1.00x     
   808     |       364       |       34        | 90.66% |     10.71x     
   809     |        1        |        1        | 0.00% |      1.00x     
   810     |        1        |        1        | 0.00% |      1.00x     
   811     |       558       |       82        | 85.30% |      6.80x     
   812     |        1        |        1        | 0.00% |      1.00x     
   813     |       332       |       22        | 93.37% |     15.09x     
   814     |        1        |        1        | 0.00% |      1.00x     
   815     |       332       |       22        | 93.37% |     15.09x     
   816     |       493       |       71        | 85.60% |      6.94x     
   817     |        1        |        1        | 0.00% |      1.00x     
   818     |       404       |       39        | 90.35% |     10.36x     
   819     |       732       |       147       | 79.92% |      4.98x     
   820     |        1        |        1        | 0.00% |      1.00x     
   821     |        1        |        1        | 0.00% |      1.00x     
   822     |       479       |       58        | 87.89% |      8.26x     
   823     |        1        |        1        | 0.00% |      1.00x     
   824     |       408       |       40        | 90.20% |     10.20x     
   825     |       351       |       50        | 85.75% |      7.02x     
   826     |        5        |        5        | 0.00% |      1.00x     
   827     |       487       |       67        | 86.24% |      7.27x     
   828     |       416       |       82        | 80.29% |      5.07x     
   829     |       407       |       57        | 86.00% |      7.14x     
   830     |       561       |       84        | 85.03% |      6.68x     
   831     |       330       |       20        | 93.94% |     16.50x     
   832     |        1        |        1        | 0.00% |      1.00x     
   833     |        1        |        1        | 0.00% |      1.00x     
   834     |       239       |       212       | 11.30% |      1.13x     
   835     |       20        |       20        | 0.00% |      1.00x     
   836     |        1        |        1        | 0.00% |      1.00x     
   837     |       634       |       101       | 84.07% |      6.28x     
   838     |       256       |        1        | 99.61% |     256.00x    
   839     |       255       |       121       | 52.55% |      2.11x     
   840     |       131       |       131       | 0.00% |      1.00x     
   841     |       563       |       84        | 85.08% |      6.70x     
   842     |       374       |       120       | 67.91% |      3.12x     
   843     |        1        |        1        | 0.00% |      1.00x     
   844     |       330       |       20        | 93.94% |     16.50x     
   845     |       425       |       167       | 60.71% |      2.54x     
   846     |        1        |        1        | 0.00% |      1.00x     
   847     |       330       |       20        | 93.94% |     16.50x     
   848     |       286       |       32        | 88.81% |      8.94x     
   849     |        1        |        1        | 0.00% |      1.00x     
   850     |       404       |       38        | 90.59% |     10.63x     
   851     |       256       |        1        | 99.61% |     256.00x    
   852     |        3        |        3        | 0.00% |      1.00x     
   853     |       256       |        1        | 99.61% |     256.00x    
   854     |       72        |       72        | 0.00% |      1.00x     
   855     |       256       |        1        | 99.61% |     256.00x    
   856     |       237       |       194       | 18.14% |      1.22x     
   857     |       256       |        1        | 99.61% |     256.00x    
   858     |       256       |       120       | 53.12% |      2.13x     
   859     |       256       |        1        | 99.61% |     256.00x    
   860     |       207       |       196       | 5.31% |      1.06x     
   861     |        3        |        3        | 0.00% |      1.00x     
   862     |        1        |        1        | 0.00% |      1.00x     
   863     |        1        |        1        | 0.00% |      1.00x     
   864     |        1        |        1        | 0.00% |      1.00x     
   865     |        3        |        3        | 0.00% |      1.00x     
   866     |        1        |        1        | 0.00% |      1.00x     
   867     |      1001       |       207       | 79.32% |      4.84x     
   868     |       256       |        1        | 99.61% |     256.00x    
   869     |       169       |       168       | 0.59% |      1.01x     
   870     |       183       |       179       | 2.19% |      1.02x     
   871     |       256       |        1        | 99.61% |     256.00x    
   872     |       256       |        2        | 99.22% |     128.00x    
   873     |        1        |        1        | 0.00% |      1.00x     
   874     |       256       |        2        | 99.22% |     128.00x    
   875     |       256       |        1        | 99.61% |     256.00x    
   876     |       253       |       172       | 32.02% |      1.47x     
   877     |       256       |        1        | 99.61% |     256.00x    
   878     |        1        |        1        | 0.00% |      1.00x     
   879     |        1        |        1        | 0.00% |      1.00x     
   880     |        1        |        1        | 0.00% |      1.00x     
   881     |        1        |        1        | 0.00% |      1.00x     
   882     |        1        |        1        | 0.00% |      1.00x     
   883     |       990       |       196       | 80.20% |      5.05x     
   884     |       224       |       207       | 7.59% |      1.08x     
   885     |        1        |        1        | 0.00% |      1.00x     
   886     |       256       |        1        | 99.61% |     256.00x    
   887     |       256       |        1        | 99.61% |     256.00x    
   888     |       237       |       215       | 9.28% |      1.10x     
   889     |        1        |        1        | 0.00% |      1.00x     
   890     |       644       |       110       | 82.92% |      5.85x     
   891     |       77        |       77        | 0.00% |      1.00x     
   892     |       256       |        1        | 99.61% |     256.00x    
   893     |        1        |        1        | 0.00% |      1.00x     
   894     |        1        |        1        | 0.00% |      1.00x     
   895     |       488       |       68        | 86.07% |      7.18x     
   896     |        1        |        1        | 0.00% |      1.00x     
   897     |       333       |       23        | 93.09% |     14.48x     
   898     |        1        |        1        | 0.00% |      1.00x     
   899     |        1        |        1        | 0.00% |      1.00x     
   900     |        1        |        1        | 0.00% |      1.00x     
   901     |        1        |        1        | 0.00% |      1.00x     
   902     |        1        |        1        | 0.00% |      1.00x     
   903     |        1        |        1        | 0.00% |      1.00x     
   904     |       984       |       190       | 80.69% |      5.18x     
   905     |        1        |        1        | 0.00% |      1.00x     
   906     |        1        |        1        | 0.00% |      1.00x     
   907     |       552       |       76        | 86.23% |      7.26x     
   908     |       20        |       20        | 0.00% |      1.00x     
   909     |        1        |        1        | 0.00% |      1.00x     
   910     |        1        |        1        | 0.00% |      1.00x     
   911     |       480       |       60        | 87.50% |      8.00x     
   912     |       329       |       19        | 94.22% |     17.32x     
   913     |        3        |        3        | 0.00% |      1.00x     
   914     |       303       |       17        | 94.39% |     17.82x     
   915     |       315       |       33        | 89.52% |      9.55x     
   916     |       562       |       85        | 84.88% |      6.61x     
   917     |       332       |       21        | 93.67% |     15.81x     
   918     |       328       |       17        | 94.82% |     19.29x     
   919     |        1        |        1        | 0.00% |      1.00x     
   920     |        1        |        1        | 0.00% |      1.00x     
   921     |       256       |        1        | 99.61% |     256.00x    
   922     |       136       |       136       | 0.00% |      1.00x     
   923     |       302       |       18        | 94.04% |     16.78x     
   924     |       289       |       31        | 89.27% |      9.32x     
   925     |        1        |        1        | 0.00% |      1.00x     
   926     |       792       |       149       | 81.19% |      5.32x     
   927     |       311       |       16        | 94.86% |     19.44x     
   928     |       302       |       18        | 94.04% |     16.78x     
   929     |        5        |        5        | 0.00% |      1.00x     
   930     |        4        |        4        | 0.00% |      1.00x     
   931     |       409       |       43        | 89.49% |      9.51x     
   932     |        1        |        1        | 0.00% |      1.00x     
   933     |       333       |       23        | 93.09% |     14.48x     
   934     |       20        |       20        | 0.00% |      1.00x     
   935     |        1        |        1        | 0.00% |      1.00x     
   936     |       486       |       64        | 86.83% |      7.59x     
   937     |       335       |       25        | 92.54% |     13.40x     
   938     |       330       |       20        | 93.94% |     16.50x     
   939     |       336       |       26        | 92.26% |     12.92x     
   940     |       330       |       20        | 93.94% |     16.50x     
   941     |       256       |       58        | 77.34% |      4.41x     
   942     |        3        |        3        | 0.00% |      1.00x     
   943     |       256       |        1        | 99.61% |     256.00x    
   944     |       65        |       65        | 0.00% |      1.00x     
   945     |       32        |       32        | 0.00% |      1.00x     
   946     |       256       |        1        | 99.61% |     256.00x    
   947     |        1        |        1        | 0.00% |      1.00x     
   948     |       14        |       14        | 0.00% |      1.00x     
   949     |        1        |        1        | 0.00% |      1.00x     
   950     |        1        |        1        | 0.00% |      1.00x     
   951     |       782       |       138       | 82.35% |      5.67x     
   952     |       407       |       42        | 89.68% |      9.69x     
   953     |       332       |       22        | 93.37% |     15.09x     
   954     |        1        |        1        | 0.00% |      1.00x     
   955     |       335       |       24        | 92.84% |     13.96x     
   956     |       331       |       21        | 93.66% |     15.76x     
   957     |       332       |       21        | 93.67% |     15.81x     
   958     |       239       |       201       | 15.90% |      1.19x     
   959     |       124       |       124       | 0.00% |      1.00x     
   960     |        1        |        1        | 0.00% |      1.00x     
   961     |        1        |        1        | 0.00% |      1.00x     
   962     |        1        |        1        | 0.00% |      1.00x     
   963     |        1        |        1        | 0.00% |      1.00x     
   964     |        1        |        1        | 0.00% |      1.00x     
   965     |        1        |        1        | 0.00% |      1.00x     
   966     |        1        |        1        | 0.00% |      1.00x     
   967     |        1        |        1        | 0.00% |      1.00x     
   968     |        1        |        1        | 0.00% |      1.00x     
   969     |       792       |       147       | 81.44% |      5.39x     
   970     |       266       |       115       | 56.77% |      2.31x     
   971     |       350       |       51        | 85.43% |      6.86x     
   972     |       269       |       16        | 94.05% |     16.81x     
   973     |        1        |        1        | 0.00% |      1.00x     
   974     |        1        |        1        | 0.00% |      1.00x     
   975     |        1        |        1        | 0.00% |      1.00x     
   976     |       479       |       59        | 87.68% |      8.12x     
   977     |       333       |       23        | 93.09% |     14.48x     
   978     |       331       |       21        | 93.66% |     15.76x     
   979     |       310       |       17        | 94.52% |     18.24x     
   980     |        5        |        5        | 0.00% |      1.00x     
   981     |        1        |        1        | 0.00% |      1.00x     
   982     |       406       |       41        | 89.90% |      9.90x     
   983     |       327       |       16        | 95.11% |     20.44x     
   984     |       334       |       24        | 92.81% |     13.92x     
   985     |       331       |       21        | 93.66% |     15.76x     
   986     |       120       |       120       | 0.00% |      1.00x     
   987     |       12        |       12        | 0.00% |      1.00x     
   988     |       486       |       65        | 86.63% |      7.48x     
   989     |        1        |        1        | 0.00% |      1.00x     
   990     |       485       |       65        | 86.60% |      7.46x     
   991     |       332       |       22        | 93.37% |     15.09x     
   992     |        1        |        1        | 0.00% |      1.00x     
   993     |       331       |       20        | 93.96% |     16.55x     
   994     |       249       |       187       | 24.90% |      1.33x     
   995     |       254       |       123       | 51.57% |      2.07x     
   996     |       256       |        1        | 99.61% |     256.00x    
   997     |       255       |       88        | 65.49% |      2.90x     
   998     |       43        |       43        | 0.00% |      1.00x     
   999     |       256       |        1        | 99.61% |     256.00x    
   1000    |       21        |       21        | 0.00% |      1.00x     
   1001    |       35        |       35        | 0.00% |      1.00x     
   1002    |        1        |        1        | 0.00% |      1.00x     
   1003    |        1        |        1        | 0.00% |      1.00x     
   1004    |        5        |        5        | 0.00% |      1.00x     
   1005    |        1        |        1        | 0.00% |      1.00x     
   1006    |        1        |        1        | 0.00% |      1.00x     
   1007    |        1        |        1        | 0.00% |      1.00x     
   1008    |      1005       |       196       | 80.50% |      5.13x     
   1009    |        4        |        4        | 0.00% |      1.00x     
   1010    |        5        |        5        | 0.00% |      1.00x     
   1011    |        1        |        1        | 0.00% |      1.00x     
   1012    |        1        |        1        | 0.00% |      1.00x     
   1013    |        1        |        1        | 0.00% |      1.00x     
   1014    |       555       |       79        | 85.77% |      7.03x     
   1015    |       304       |       17        | 94.41% |     17.88x     
   1016    |       274       |       70        | 74.45% |      3.91x     
   1017    |       16        |       16        | 0.00% |      1.00x     
   1018    |        1        |        1        | 0.00% |      1.00x     
   1019    |        3        |        3        | 0.00% |      1.00x     
   1020    |       636       |       105       | 83.49% |      6.06x     
   1021    |        1        |        1        | 0.00% |      1.00x     
   1022    |       489       |       68        | 86.09% |      7.19x     
   1023    |       331       |       20        | 93.96% |     16.55x     
   1024    |       139       |       139       | 0.00% |      1.00x     
   1025    |        1        |        1        | 0.00% |      1.00x     
   1026    |       255       |       111       | 56.47% |      2.30x     
   1027    |       256       |        1        | 99.61% |     256.00x    
   1028    |       68        |       68        | 0.00% |      1.00x     
   1029    |       256       |       52        | 79.69% |      4.92x     
   1030    |       221       |       205       | 7.24% |      1.08x     
   1031    |        1        |        1        | 0.00% |      1.00x     
   1032    |       45        |       45        | 0.00% |      1.00x     
   1033    |        1        |        1        | 0.00% |      1.00x     
   1034    |        1        |        1        | 0.00% |      1.00x     
   1035    |        1        |        1        | 0.00% |      1.00x     
   1036    |        1        |        1        | 0.00% |      1.00x     
   1037    |        1        |        1        | 0.00% |      1.00x     
   1038    |      1015       |       206       | 79.70% |      4.93x     
   1039    |        1        |        1        | 0.00% |      1.00x     
   1040    |       214       |       204       | 4.67% |      1.05x     
   1041    |       116       |       115       | 0.86% |      1.01x     
   1042    |       90        |       90        | 0.00% |      1.00x     
   1043    |       256       |        1        | 99.61% |     256.00x    
   1044    |        1        |        1        | 0.00% |      1.00x     
   1045    |        1        |        1        | 0.00% |      1.00x     
   1046    |        1        |        1        | 0.00% |      1.00x     
   1047    |        1        |        1        | 0.00% |      1.00x     
   1048    |        1        |        1        | 0.00% |      1.00x     
   1049    |        1        |        1        | 0.00% |      1.00x     
   1050    |      1001       |       194       | 80.62% |      5.16x     
   1051    |       50        |       50        | 0.00% |      1.00x     
   1052    |       256       |       35        | 86.33% |      7.31x     
   1053    |        1        |        1        | 0.00% |      1.00x     
   1054    |       256       |       52        | 79.69% |      4.92x     
   1055    |        1        |        1        | 0.00% |      1.00x     
   1056    |       13        |       13        | 0.00% |      1.00x     
   1057    |        5        |        5        | 0.00% |      1.00x     
   1058    |        1        |        1        | 0.00% |      1.00x     
   1059    |        1        |        1        | 0.00% |      1.00x     
   1060    |        1        |        1        | 0.00% |      1.00x     
   1061    |        1        |        1        | 0.00% |      1.00x     
   1062    |       783       |       138       | 82.38% |      5.67x     
   1063    |        1        |        1        | 0.00% |      1.00x     
   1064    |       20        |       20        | 0.00% |      1.00x     
   1065    |       483       |       62        | 87.16% |      7.79x     
   1066    |       335       |       26        | 92.24% |     12.88x     
   1067    |        4        |        4        | 0.00% |      1.00x     
   1068    |       333       |       23        | 93.09% |     14.48x     
   1069    |        1        |        1        | 0.00% |      1.00x     
   1070    |       331       |       20        | 93.96% |     16.55x     
   1071    |       316       |       34        | 89.24% |      9.29x     
   1072    |       308       |       22        | 92.86% |     14.00x     
   1073    |       318       |       21        | 93.40% |     15.14x     
   1074    |        1        |        1        | 0.00% |      1.00x     
   1075    |       175       |       171       | 2.29% |      1.02x     
   1076    |        6        |        6        | 0.00% |      1.00x     
   1077    |       712       |       125       | 82.44% |      5.70x     
   1078    |       175       |       171       | 2.29% |      1.02x     
   1079    |       333       |       23        | 93.09% |     14.48x     
   1080    |       334       |       24        | 92.81% |     13.92x     
   1081    |       407       |       42        | 89.68% |      9.69x     
   1082    |       302       |       16        | 94.70% |     18.88x     
   1083    |       314       |       32        | 89.81% |      9.81x     
   1084    |        1        |        1        | 0.00% |      1.00x     
   1085    |       559       |       82        | 85.33% |      6.82x     
   1086    |       404       |       37        | 90.84% |     10.92x     
   1087    |       307       |       21        | 93.16% |     14.62x     
   1088    |        1        |        1        | 0.00% |      1.00x     
   1089    |       311       |       49        | 84.24% |      6.35x     
   1090    |       559       |       84        | 84.97% |      6.65x     
   1091    |       299       |       17        | 94.31% |     17.59x     
   1092    |        1        |        1        | 0.00% |      1.00x     
   1093    |        1        |        1        | 0.00% |      1.00x     
   1094    |        1        |        1        | 0.00% |      1.00x     
   1095    |       409       |       43        | 89.49% |      9.51x     
   1096    |       300       |       18        | 94.00% |     16.67x     
   1097    |        1        |        1        | 0.00% |      1.00x     
   1098    |        1        |        1        | 0.00% |      1.00x     
   1099    |       405       |       38        | 90.62% |     10.66x     
   1100    |       340       |       65        | 80.88% |      5.23x     
   1101    |       407       |       42        | 89.68% |      9.69x     
   1102    |       328       |       18        | 94.51% |     18.22x     
   1103    |        1        |        1        | 0.00% |      1.00x     
   1104    |        1        |        1        | 0.00% |      1.00x     
   1105    |       332       |       22        | 93.37% |     15.09x     
   1106    |       328       |       17        | 94.82% |     19.29x     
   1107    |       253       |       176       | 30.43% |      1.44x     
   1108    |        1        |        1        | 0.00% |      1.00x     
   1109    |        1        |        1        | 0.00% |      1.00x     
   1110    |       407       |       41        | 89.93% |      9.93x     
